name,description,link to datasheet,pinout
CD74HC4017E,High-Speed CMOS Logic Decade Counter/Divider with 10 Decoded Outputs,https://www.ti.com/lit/ds/symlink/cd74hc4017.pdf?ts=1674198410038,"1-B5,2-B1,3-B0,4-B2,5-B6,6-B7,7-B3,8-GND|9-B8,10-B4,11-B9,12-TC,13-'CE,14-CP,15-MR,16-Vcc"
CD74HC73E,Dual J-K Flip-Flop with Reset Negative-Edge Trigger,https://www.ti.com/lit/ds/symlink/cd74hct73.pdf?ts=1674175557498,"1-'1CP,2-'1R,3-1K,4-Vcc,5-'2CP,6-'2R,7-2J|8-'2Q,9-2Q,10-2K,11-GND,12-1Q,13-'1Q,14-1J"
CD74HCT21EE4,Dual 4-Input AND Gates,https://www.ti.com/lit/ds/symlink/cd74hct21.pdf,"1-1A,2-1B,3-NC,4-1C,5-1D,6-1Y,7-GND|8-2Y,9-2A,10-2B,11-NC,12-2C,13-2D,14-VCC"
CD74HCT4511,BCD-to-7 Segment Latch/Decoder/Drivers,https://www.ti.com/lit/ds/symlink/cd74hc4511.pdf,"1-D1,2-D2,3-'LT,4-'BL,5-'LE,6-D3,7-D0,8-GND|9-e,10-d,11-c,12-b,13-a,14-g,15-f,16-VCC"
LM2917N,Frequency to Voltage Converter,https://www.ti.com/lit/ds/symlink/lm2907-n.pdf,"1-TACH+,2-CP1,3-CP2/IN+,4-EMIT|5-COL,6-V+,7-IN-,8-TACH-/GND"
LM358NG,Single Supply Dual Operational Amplifiers,https://www.mouser.co.uk/datasheet/2/308/LM358_D-1634144.pdf,"1-OUT_A,2-INPUT_A-,3-INPUT_A+,4-Vee/GND|5-INPUT_B+,6-INPUT_B-,7-OUTPUT_B,8-Vcc"
LM386N,Low Voltage Audio Power Amplifier,https://www.ti.com/lit/ds/symlink/lm386.pdf,"1-GAIN,2--ve_Input,3-+ve_Input,4-GND|5-Vout,6-Vs,7-Bypass,8-GAIN"
LM386N,Low Voltage Audio Power Amplifier,https://www.ti.com/lit/ds/symlink/lm386.pdf,"1-GAIN,2--ve_INPUT,3-+ve_INPUT,4-GND|5-Vout,6-Vs,7-BYPASS,8-GAIN"
NE555P,555 Precision Timers,https://www.ti.com/lit/ds/symlink/ne555.pdf,"1-GND,2-TRIG,3-OUT,4-RST|5-CONT,6-THRESH,7-DISCH,8-Vcc"
NE556N,DUAL PRECISION TIMERS,https://www.ti.com/lit/ds/symlink/sa556.pdf,"1-1dDISCH,2-1THRESH,3-1CONT,4-1RST,5-1OUT,6-1TRIG,7-GND|8-2TRIG,9-2OUT,10-2RST,11-2CONT,12-2THRESH,13-2DISCH,14-Vcc"
SN74HC00N,Quadruple 2-Input NAND Gates,https://www.ti.com/lit/ds/symlink/sn74hc00.pdf,"1-1A,2-1B,3-1Y,4-2A,5-2B,6-2Y,7-GND|8-2Y,9-3A,10-3B,11-4Y,12-4A,13-4B,14-VCC"
SN74HC14N,Hex Inverters with Schmitt-Trigger Inputs,https://www.ti.com/lit/ds/symlink/sn74hc14.pdf,"1-1A,2-1Y,3-2A,4-2Y,5-3A,6-3Y,7-GND|8-4Y,9-4A,10-5Y,11-5A,12-6Y,13-6A,14-VCC"
SN74HC273N,Octal D-Type Flip-Flops With Clear,https://www.ti.com/lit/ds/scls136f/scls136f.pdf,"1-CLR,2-1Q,3-1D,4-2D,5-2Q,6-3Q,7-3D,8-4D,9-4Q,10-GND|11-CLK,12-5Q,13-5D,14-6D,15-6Q,16-7Q,17-7D,18-8D,19-8Q,20-VCC"
SN74HC27N,Triple 3-Input NOR Gates,https://www.ti.com/lit/ds/symlink/sn54hc27.pdf,"1-1A,2-1B,3-2A,4-2B,5-2C,6-2Y,7-GND|8-3Y,9-3A,10-3B,11-3C,12-1Y,13-1C,14-Vcc"
SN74HC393,Dual 4-bit Binary Counters,https://www.ti.com/lit/ds/symlink/sn74hc393.pdf,"1-1CLK,2-1CLR,3-1QA,4-1QB,5-1QC,6-1QD,7-GND|8-2QD,9-2QC,10-2QB,11-2QA,12-2CLR,13-2CLK,14-Vcc"
SN74HC595N,8-Bit Shift Registers With 3-State Output Registers,https://www.ti.com/lit/ds/symlink/sn74hc595.pdf,"1-QB,2-QC,3-QD,4-QE,5-QF,6-QG,7-QH,8-GND|9-QH',10-'SRCLR,11-SRCLK,12-RCLK,13-'OE,14-SER,15-QA,16-Vcc"
SN74HC86N,Quadruple 2-Input XOR Gates,https://www.ti.com/lit/ds/symlink/sn74hc86.pdf,"1-1A,2-1B,3-1Y,4-2A,5-2B,6-2Y,7-GND|8-3Y,9-3A,10-3B,11-4Y,12-4A,13-4B,14-Vcc"
SN74LS00N,Quadruple 2-Input Positive-NAND Gates,https://www.ti.com/lit/ds/symlink/sn74ls00.pdf,"1-1A,2-1B,3-1Y,4-VCC,5-2Y,6-2A,7-2B|8-3A,9-3A,10-3B,11-GND,12-4A,13-4B,14-4Y"
SN74LS04N,HEX INVERTER,https://www.ti.com/lit/ds/symlink/sn74ls04.pdf,"1-1A,2-1Y,3-2A,4-2Y,5-3A,6-3Y_,7-GND|8-4Y,9-4A,10-5Y,11-5A,12-6Y,13-6A,14-VCC"
SN74LS08N,QUADRUPLE 2-INPUT POSITIVE-AND GATES,https://www.ti.com/lit/ds/symlink/sn74ls08.pdf,"1-1A,2-1B,3-1Y,4-2A,5-2B,6-2Y,7-GND|8-3Y,9-3A,10-3B,11-4Y,12-4A,13-4B,14-VCC"
SN74LS32N,QUADRUPLE 2-INPUT POSITIVE-OR GATES,https://www.ti.com/lit/ds/symlink/sn74ls32.pdf,"1-1A,2-1B,3-1Y,4-2A,5-2B,6-2Y,7-GND|8-3Y,9-3A,10-3B,11-4Y,12-4A,13-4B,14-VCC"
SN74LS393N,DUAL 4-BIT DECADE AND BINARY COUNTERS,https://www.ti.com/lit/ds/symlink/sn54ls393-sp.pdf,"1-1A,2-1CLR,3-1QA,4-1QB,5-1QC,6-10QD,7-GND|8-2QD,9-2QC,10-2QB,11-2QA,12-2CLR,13-2A,14-VCC"
SN74LS86N,QUADRUPLE 2-INPUT EXCLUSIVE-OR GATES,https://www.ti.com/lit/ds/symlink/sn54s86.pdf,"1-1A,2-1B,3-1Y,4-2A,5-2B,6-2Y,7-GND|8-3Y,9-3A,10-3B,11-4Y,12-4A,13-4B,14-VCC"
TL082CP,Wide Bandwidth Dual JFET Input Operational Amplifier,https://www.ti.com/lit/ds/symlink/tl082-n.pdf,"1-OUTA,2-INVERTING_IN_A,3-_NON_INVERTING_IN_A,4_-_V-|5-_NON_INVERTING_IN_B,6-_INVERTING_IN_B,7-_OUT_B,8-_V+"
TL084CN,FET-Input Operational Amplifiers,https://www.ti.com/lit/ds/symlink/tl084.pdf,"1-1OUT,2-1IN-,3-1IN+,4-VCC+,5-2IN+,6-2IN-,7-2OUT|8-3OUT,9-3IN-,10-3IN+,11-VCC-,12-4IN+,13-4IN-,14-4OUT"
ULN2003,Seven Darlington arrays,https://www.st.com/resource/en/datasheet/uln2001.pdf,"1-_IN1,2-IN2,3-IN3,4-IN4,5-IN5,6-IN6,7-IN7,8-GND|9-Common_Flyback_Diode,10-OUT7,11-OUT6,12-OUT5,13-OUT4,14-OUT3,15-OUT2,16-OUT1"
